Name,Frequency
MÜJDE,1312
GÜLFİYE,1311
ELMAST,1306
KISMET,1306
FERAY,1293
BURÇİN,1291
VECİHE,1289
ŞAHİZER,1285
GÜLHATUN,1281
HAFİZA,1275
ZEMİNE,1275
SEMİRE,1274
ÇAKIR,1270
ÇEŞMİNAZ,1269
AYNİ,1268
YONCA,1268
ZEKİNE,1263
SITTIKA,1260
ÇİMEN,1260
NAİDE,1257
GÜLENDER,1255
BESSİ,1251
FEYZİYE,1250
NAZDAR,1246
ZÜLAL,1245
BEŞİRE,1243
ZEYNİ,1243
MAVUŞ,1239
KİFAYET,1237
SADİFE,1237
KESER,1234
BELKIZ,1231
KERZİBAN,1230
FATMAGÜL,1225
SAFFET,1225
İZZET,1225
METHİYE,1220
MÜLKİNAZ,1220
HALE,1211
FERİŞTAH,1210
NEZİFE,1209
GÜZİN,1206
FULYA,1205
FİTNAT,1205
NİĞMET,1205
NAFİZE,1202
NAŞİDE,1201
FEYZA,1198
HELİME,1195
AYDAN,1194
BAĞDAGÜL,1192
BİNNUR,1190
HÜNKAR,1188
FADEN,1186
GÖKÇE,1175
İMREN,1172
OLCAY,1171
FİNCAN,1166
SÜZAN,1164
ZARİF,1163
ŞEMSİYE,1163
BEDEVİ,1161
ZERİF,1157
SÜMBÜL,1156
BAHİRE,1153
HEVİ,1152
GÜLGÜN,1150
SADEGÜL,1149
CEYHAN,1148
GEVİ,1142
ÖMRİYE,1139
HARBİYE,1136
GAFURE,1133
SUAT,1133
ALTIN,1132
CEYDA,1128
ŞAHİNDER,1128
DURNA,1126
PERİNAZ,1126
HAMAİL,1123
KIYAFET,1123
MEVLÜDİYE,1123
ÖZCAN,1123
GÖGERÇİN,1121
TÜRKMEN,1118
AYYUŞ,1117
HASENE,1117
ZİLFİ,1113
ZÜBEYDA,1112
ÇİLEM,1111
FÜSUN,1110
ESMEHAN,1106
PEYRUZE,1106
SEYYARE,1104
FEDİLE,1103
NAZLİ,1103
FATMA NUR,1102
NOKTA,1102
ÜMMİHAN,1102
İREM,1102
FATİMA,1098
KEVİ,1098
TALİA,1095
HAZEL,1094
TEKMİLE,1094
SELAMET,1093
DEVLET,1088
BAHTİYAR,1082
TALİYE,1076
FERUZE,1074
ZERİ,1074
SEMANUR,1073
MENCİ,1072
FATİK,1070
FAİME,1067
MİNİRE,1065
GÜLÜ,1062
NESLİ,1060
NEVAL,1058
LALİHAN,1057
MİHDİYE,1055
BÜLBÜL,1054
HAFIZA,1054
SEVTAP,1053
ŞAHSİNE,1053
ADVİYE,1050
MÜGE,1049
EMİR,1045
SAHURE,1045
DİLARA,1044
AYŞEHAN,1042
RAHİLE,1042
İFAKET,1040
SELFİNAZ,1039
HALİMİ,1034
GÜNNUR,1033
TAHİRE,1032
SÜRİYE,1029
GEVHER,1028
ASYE,1024
İMİŞ,1021
HANSE,1018
SELVA,1017
ŞAYESTE,1015
FATİŞ,1011
ŞEBNEM,1010
AYGÜN,1008
GÜLDESTE,1007
HEYBET,1007
EVİN,1006
SEFA,1006
SEFİYE,1002
SERAYİ,1002
ASLİ,1001
FEYRUZ,1000
ASLİHAN,998
ŞAHSENE,992
AYTAN,991
BESSEY,990
ÖRDEK,989
İDE,987
RADİYE,985
KADİRE,984
SEZER,983
MİYESE,982
ANİŞ,981
RAKİBE,981
FERAH,979
ELVİDE,977
GÜLTER,977
CAZİYE,974
SALİÇ,973
DÜRÜYE,972
BEYZA,969
TEMAM,969
ASSİYE,967
HANDE,964
SELVET,964
SUDİYE,964
ÜLGER,957
ĞAZAL,957
SALTANAT,955
GANİMET,953
HANIMŞAH,952
SULTANE,952
YAŞARE,952
NOFA,947
NERGİS,944
ÖZGÜR,944
ZÖHRA,940
MİYESER,937
PERO,937
SAİBE,937
ÇİLLİ,937
SABİYE,931
HAYAL,930
MAVİYE,929
İSMEHAN,927
ANAHANIM,923
FECRİYE,922
NAZLİYE,920
NEZİHAT,919
HAVVANA,916
ÇAĞLA,915
GÜLSEVEN,912
MİHRİCAN,906
ADİFE,900
GÜLSENEM,900
RAMİZE,900
ÜMMAHAN,900
MAİDE,898
SADIKA,898
DURAN,895
HATİME,895
GÜRSEL,892
RÜVEYDA,888
ZELİHAN,886
GÜLİŞAN,885
ASİME,884
BELKİSA,883
TÜLÜN,883
AYTÜL,882
NEVRUZ,881
NAYİME,879
NÜLÜFER,879
ZERGA,876
MEVA,871
PİRUZE,870
MİHRİ,869
FATMAANA,868
AKİFE,867
SALLI,866
AYŞETE,865
SADRİYE,864
MESRURE,861
FATEY,860
MARZİYE,860
SALİSE,859
ŞAHZADE,859
RAHŞAN,856
SERAY,855
CEREN,849
SÜMEYYA,849
MARİFET,848
AYŞEDUDU,846
SİYASET,846
BAŞAK,841
SELCAN,841
MÜESSER,839
MİZGİN,838
KÖÇER,837
ŞAHHANIM,835
NEBİHA,832
GÜVERCİN,829
AKİDE,828
HADRA,828
SELVİYE,828
FATMA GÜL,826
VECİDE,824
BİNEFŞ,822
VETHA,822
GAZEL,821
ALYE,819
GÜLFEM,819
VİCDAN,816
TAZEGÜL,814
NARİYE,813
AKLİME,811
NEBİHE,811
TAYİBE,811
NAME,808
GÜLNAME,806
CANDAN,805
ŞEMSİHAN,805
RUKKİYE,802
ZÜHRİYE,802
MUAMMER,800
ELFİDE,799
MAYA,799
VEHBİYE,799
NURDAGÜL,798
BALLI,797
HASİME,796
NECİFE,796
TÜKEZ,796
ATRA,794
BİLGEN,789
ŞAFAK,788
CANSEL,787
VADHA,786
ÇİDEM,786
LETİFE,784
SAHİBE,783
KİBRİYE,782
BERGÜZAR,781
GARİP,781
TALİHA,780
ECE,779
ALMAST,778
BİZAR,777
EZİNE,777
NAKİYE,777
HASBİYE,774
GÜLGEZ,773
NARGÜL,773
NURAL,773
SEBİHE,773
ŞAHİBE,772
ŞEFİKE,768
MEMİHAN,767
ANŞE,766
BASRA,766
GÜLEFER,764
YELDA,764
HEMİ,763
GEVEZ,759
ŞAHNAZ,758
ZELHA,754
DİDARE,753
FADİMEANA,751
HENİFE,750
DURDİYE,749
GÜHER,748
GÜLAYŞE,747
DURSİYE,746
RAFİA,746
HANİMİ,743
BİLGİN,742
İMOŞ,741
NİSBET,740
SERVİ,740
KARANFİL,737
KEZZİBAN,736
İMMİ,736
HAMRA,735
REHİME,734
İRFAN,733
MERDİYE,732
SAYNUR,732
SEYRİ,732
RAŞİDE,731
BEZAR,730
NAGEHAN,730
SEDİYE,730
NEZİYE,729
MALİKE,728
RUKEN,728
SİSİ,728
ŞEREFNAZ,726
AYNO,725
GÜMÜŞ,725
İLMİYE,725
SALİCE,724
AYÇA,722
DİLŞA,721
MAVİ,721
GÖKÇEN,718
YAYLA,716
DÜNYA,711
EŞŞE,711
MELİHE,711
GÜLÇİÇEK,709
HATİÇE,709
MÜNEVER,709
ÜMMÜŞ,708
GÜLHİZAR,706
NAZİKAR,701
CEYRAN,700
GÜRCAN,699
İHSANİYE,699
BİNGÜL,697
MUHUBBET,696
SEMİNE,696
ŞEKÜRE,696
MİHRİNAZ,695
FERZİMELEK,693
ZEHİDE,693
ŞAZİME,693
NUBAR,692
VERDİ,691
ZERO,691
GÜLTAZE,690
AVNİYE,689
KÖÇERİ,689
LALİZER,689
NİHAN,689
SÜRMELİ,689
NARİNÇ,688
HAMİ,687
SEVDET,687
YASEMEN,687
ŞİFA,687
BELKİZE,686
ŞAHİZAR,686
MARİYE,683
MÜZEYEN,683
IŞIK,682
KEKLİK,682
ANAKADIN,681
ATİFE,681
SAHAR,679
ÜLKİYE,679
HAZNE,678
RUŞEN,678
FATME,676
CAİZE,675
URKİYE,673
KADEM,672
FERİZE,671
HORİYE,671
SABİTE,670
MİYASER,668
MÜCEVHER,667
SERVİNAZ,666
DİDAR,662
MENDUHA,660
ŞEHİDE,660
HACİLE,658
KİBARİYE,658
AŞHAN,657
HÜRİ,655
TANSU,654
YAPRAK,653
ÖZEN,653
PAKİZER,651
HATİCE KÜBRA,644
SEYYİDE,644
FERYAL,643
MAHİGÜL,643
SÜPHİYE,643
ŞEHİME,643
HURİNAZ,641
HARİKA,639
ESER,638
HAZİNE,638
MEZİYET,637
ORUÇ,636
AYŞE HANIM,635
MUTLU,635
SENA,635
SERGÜL,635
ŞEMSEY,632
HATUNCUK,631
SARİ,631
GÜNSEL,630
HEVES,630
HİCRET,630
UMMAHANI,630
GÜLBİYE,628
İHSAN,628
MEVLİDE,627
SEHEL,625
ŞAHİZE,624
MÜNEVVERE,622
MÜHİBE,621
VELİYE,621
HAMİDİYE,620
ŞADIMAN,620
HÜRİYET,618
RESİME,618
SULBİYE,618
FATTUM,617
NERGÜL,617
HAFİYE,616
RÜKİYE,616
ZEZİ,616
ELÇİN,614
HANIMZER,614
SEVGİLİ,612
EVRİM,611
ZEYNEB,611
CAVİDAN,610
RUHİGÜL,610
GARİBE,609
KADİME,609
CEVHER,608
VAHİBE,606
EŞE FATMA,605
PEYRÜZE,603
SERCAN,603
ZEYNAP,602
MÜVEDDET,600
ARMAĞAN,597
GÖHER,596
SAFYA,596
SOSUN,595
SEBAT,594
ŞADAN,594
ZİKRİYE,593
MİYESSER,591
ŞEFİYE,591
FENER,590
RADİFE,589
ZAYİDE,589
BADEGÜL,588
BERFİ,588
FATMANUR,588
EMİŞE,587
GÜNNAZ,586
LEBİBE,586
UMMUHANI,586
HASNA,585
HÜRMÜS,585
NENE,585
BİRNAZ,584
GÜLENDEM,584
REBİYE,584
ZÜMEYRAN,583
RAKİYE,582
VEHİBE,582
GÜLBİN,581
ANZILHA,580
HANIM AYŞE,579
MÜNİBE,579
BUSE,578
BESRAYİ,575
EMOŞ,574
YAZGÜLÜ,574
GÜLSEFA,572
MENEMŞE,572
DESTE,570
ÜRKÜŞ,569
GÜLFE,568
HALİSA,568
YAZİ,568
GÜRCİ,566
REYHANE,566
BEGİ,561
MEKKİYE,561
BEDİRİYE,560
FATMA HANIM,560
MAHİZER,560
ŞARİ,560
ŞEKİBE,559
RANA,558
ZATİYE,558
NERMAN,557
BUŞRA,556
EMİNE DUDU,556
MİSKAL,556
RAHİM,555
BİNGÖL,554
RİNDİ,553
NİDA,552
TERLAN,552
NARDANE,551
İLVE,550
DURCAN,549
ZÜLFÜYE,549
SEADET,548
MEBRURE,547
FIDDA,546
SÜPHAN,544
BİLSEN,543
ZÜBİDE,543
İLHAME,543
EMİNE HATUN,542
TORUN,542
İRAN,542
AĞCA,541
MÜNİFE,541
AYŞEANA,540
SAFİYA,540
ÜMMİ,539
AYSU,537
MÜŞKİNAZ,537
ÖMRÜYE,536
İKLİME,536
ELA,535
REZAN,535
ZEYTİN,535
NAZHANIM,534
NEZAHET,533
FATO,532
FENDİYE,532
GÜLHAYAT,532
KAZİ,532
GÖKSEL,529
GÜLFİKAR,529
GÜLTEKİN,528
ZAFER,528
ÜMMÜGÜLSÜN,528
SEREN,525
FERAHNAZ,522
MELDA,522
NAMİYE,521
BİNEVŞ,520
MUHİBE,519
KAZİME,518
SEZGİN,518
TERFE,518
İKRAMİYE,518
SEHAR,517
SAHRE,515
BARAN,514
KEMALİYE,514
SEMİRA,514
VACİDE,514
ZEYNETİ,514
BERFO,513
BEYTİYE,511
MEYASE,511
ÜRKİYE,511
ŞERBET,511
MEFARET,510
FECİRE,509
SAHİRE,509
ZİNETİ,509
AREFE,507
FİSUN,507
GÜLAFER,507
